,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,MW,HTFormPtsStr,ATFormPtsStr,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts
39,2021-01-09,Buducnost BEMAX,BV Borussia 09 Dortmund,31,27,H,173,189,173,189,0.078125,0.03125,W,L,W,D,L,L,L,L,L,W,8.0,WLWDL,LLLLW,5,2,0,0,0,0,0,0,0,0,0.0,0.0,0.046875,0.046875
40,2021-01-16,Vipers Kristiansand,SG BBM Bietigheim,27,21,H,218,204,218,204,0.1358024691358025,0.012345679012345678,D,W,D,L,D,D,L,L,L,L,9.0,DWDLD,DLLLL,5,1,0,0,0,0,0,0,1,0,0.0,0.0,0.1234567901234568,0.04938271604938271
41,2021-01-16,FTC-Rail Cargo Hungaria,Team Esbjerg,24,28,NH,221,215,221,215,0.1234567901234568,0.04938271604938271,W,W,W,W,L,D,L,L,L,D,9.0,WWWWL,DLLLD,8,2,0,0,0,0,0,0,0,0,0.0,0.0,0.07407407407407407,0.07407407407407407
42,2021-01-16,CSM Bucuresti,Rostov-Don,22,29,NH,217,225,217,225,0.1234567901234568,0.16049382716049382,L,L,W,W,W,L,W,W,W,W,9.0,LLWWW,LWWWW,6,8,1,0,0,0,1,0,0,0,0.0,0.0,-0.037037037037037035,-0.024691358024691357
43,2021-01-16,RK Krim Mercator,Metz Handball,22,26,NH,200,229,200,229,0.04938271604938271,0.1358024691358025,D,L,L,L,W,W,W,D,W,L,9.0,DLLLW,WWDWL,3,7,0,0,0,0,0,0,0,0,0.0,0.0,-0.08641975308641975,-0.04938271604938271
44,2021-01-10,Győri Audi ETO KC,SCM Ramnicu Valcea,37,20,H,251,218,251,218,0.1728395061728395,0.04938271604938271,W,W,W,W,W,W,L,W,L,L,9.0,WWWWW,WLWLL,10,4,1,1,0,0,0,0,0,0,0.0,0.0,0.1234567901234568,0.07407407407407407
45,2021-01-16,CSKA,BV Borussia 09 Dortmund,35,28,H,217,216,217,216,0.1358024691358025,0.024691358024691357,L,L,W,W,W,L,L,L,L,L,9.0,LLWWW,LLLLL,6,0,1,0,0,0,0,0,1,1,0.0,0.0,0.1111111111111111,0.07407407407407407
46,2021-01-17,Brest Bretagne Handball,Buducnost BEMAX,28,28,NH,241,204,241,204,0.14814814814814814,0.08641975308641975,W,W,W,L,D,W,W,L,W,D,9.0,WWWLD,WWLWD,7,7,0,0,0,0,0,0,0,0,0.0,0.0,0.0617283950617284,0.0
47,2021-01-17,Odense Håndbold,HC Podravka Vegeta,32,32,NH,220,211,220,211,0.1234567901234568,0.04938271604938271,L,W,L,W,L,L,L,L,L,W,9.0,LWLWL,LLLLW,4,2,0,0,0,0,0,0,0,0,0.0,0.0,0.07407407407407407,0.024691358024691357
48,2021-01-20,FTC-Rail Cargo Hungaria,Metz Handball,32,30,H,245,255,245,255,0.1,0.13,L,W,W,W,W,W,W,W,D,W,10.0,LWWWW,WWWDW,8,9,1,0,0,0,0,0,0,0,0.0,0.0,-0.03,-0.01
