Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,
13/02/21,18:00:00,Buducnost BEMAX,HC Podravka Vegeta,30,26,H,13,11,H,+
14/02/21,16:00:00,CSKA,Brest Bretagne Handball,30,24,H,17,12,H,+
14/02/21,16:00:00,SCM Ramnicu Valcea,BV Borussia 09 Dortmund,24,21,H,12,13,A,+
21/02/21,17:30:00,Rostov-Don,SG BBM Bietigheim,30,27,H,17,11,H,+
21/02/21,16:00:00,Vipers Kristiansand,FTC-Rail Cargo Hungaria,25,26,A,12,13,A,+
22/02/21,14:00:00,Team Esbjerg,Metz Handball,22,27,A,8,13,A,+
22/02/21,18:00:00,CSM Bucuresti,RK Krim Mercator,31,31,D,14,14,D,+
21/02/21,17:00:00,BV Borussia 09 Dortmund,Odense Håndbold,28,29,A,12,15,A,+
22/02/21,15:00:00,CSKA,HC Podravka Vegeta,30,22,H,20,9,H,+
22/02/21,18:00:00,Győri Audi ETO KC,Buducnost BEMAX,33,22,H,13,13,D,+
22/02/21,16:00:00,SCM Ramnicu Valcea,Brest Bretagne Handball,26,25,H,12,12,D,+
14/03/21,14:00:00,Rostov-Don,HC Podravka Vegeta,42,30,H,24,11,H,+
13/03/21,16:00:00,CSM Bucuresti,SCM Ramnicu Valcea,23,22,H,11,15,A,+
14/03/21,18:00:00,Vipers Kristiansand,Odense Håndbold,33,36,A,16,17,A,+
13/03/21,18:00:00,FTC-Rail Cargo Hungaria,Buducnost BEMAX,30,28,H,9,15,A,+
13/03/21,16:00:00,CSKA,RK Krim Mercator,27,27,D,14,11,H,+
14/03/21,16:00:00,BV Borussia 09 Dortmund,Metz Handball,21,27,A,11,12,A,+
14/03/21,18:00:00,Győri Audi ETO KC,SG BBM Bietigheim,35,30,H,20,13,H,+
14/03/21,15:00:00,Brest Bretagne Handball,Team Esbjerg,28,27,H,14,14,D,+
20/03/21,18:00:00,RK Krim Mercator,Győri Audi ETO KC,30,33,A,14,13,D,+
20/03/21,17:00:00,SG BBM Bietigheim,SCM Ramnicu Valcea,25,32,A,7,10,A,+
20/03/21,16:00:00,Team Esbjerg,BV Borussia 09 Dortmund,29,34,A,18,13,H,+
21/03/21,16:00:00,Metz Handball,Brest Bretagne Handball,22,19,H,14,17,A,+
21/03/21,18:00:00,HC Podravka Vegeta,Rostov-Don,27,20,H,12,14,A,+
21/03/21,16:00:00,Odense Håndbold,Vipers Kristiansand,26,26,D,15,17,A,+
20/03/21,17:00:00,CSKA,CSM Bucuresti,28,27,H,10,13,A,+
20/03/21,16:00:00,Buducnost BEMAX,FTC-Rail Cargo Hungaria,24,30,A,10,10,D,+
26/03/21,18:00:00,SG BBM Bietigheim,HC Podravka Vegeta,26,26,D,11,11,D,+
26/03/21,18:00:00,Vipers Kristiansand,CSKA,37,29,H,18,12,H,+
26/03/21,15:00:00,CSM Bucuresti,Buducnost BEMAX,28,25,H,14,10,H,+
27/03/21,16:00:00,FTC-Rail Cargo Hungaria,Brest Bretagne Handball,27,30,A,15,17,A,+
26/03/21,14:00:00,BV Borussia 09 Dortmund,Team Esbjerg,27,30,A,14,20,A,+
26/03/21,15:15:00,Győri Audi ETO KC,Rostov-Don,26,26,D,8,11,A,+
27/03/21,16:00:00,SCM Ramnicu Valcea,Metz Handball,23,25,A,12,15,A,+
27/03/21,20:00:00,Odense Håndbold,RK Krim Mercator,29,25,H,13,13,D,+
02/04/21,17:00:00,Rostov-Don,BV Borussia 09 Dortmund,37,30,H,17,11,H,+
02/04/21,14:00:00,RK Krim Mercator,CSKA,24,24,D,11,10,H,+
02/04/21,14:00:00,Team Esbjerg,Buducnost BEMAX,33,34,A,16,10,H,+
02/04/21,18:00:00,Metz Handball,Győri Audi ETO KC,30,27,H,15,16,A,+
03/04/21,16:00:00,SCM Ramnicu Valcea,CSM Bucuresti,26,29,A,12,13,A,+
03/04/21,16:00:00,HC Podravka Vegeta,FTC-Rail Cargo Hungaria,24,23,H,15,15,D,+
03/04/21,16:00:00,Odense Håndbold,SG BBM Bietigheim,30,30,D,14,19,A,+
02/04/21,17:00:00,Brest Bretagne Handball,Vipers Kristiansand,31,29,H,15,15,D,+
09/04/21,14:00:00,SG BBM Bietigheim,Győri Audi ETO KC,22,30,A,8,18,A,+
09/04/21,16:00:00,CSM Bucuresti,CSKA,32,32,D,20,12,H,+
10/04/21,14:00:00,Vipers Kristiansand,SCM Ramnicu Valcea,30,23,H,19,12,H,+
10/04/21,14:00:00,Team Esbjerg,Odense Håndbold,25,20,H,13,10,H,+
10/04/21,18:00:00,Buducnost BEMAX,Metz Handball,31,32,A,15,15,D,+
09/04/21,16:00:00,HC Podravka Vegeta,RK Krim Mercator,22,21,H,11,12,A,+
09/04/21,18:00:00,BV Borussia 09 Dortmund,Rostov-Don,26,26,D,16,17,A,+
10/04/21,18:00:00,Brest Bretagne Handball,FTC-Rail Cargo Hungaria,30,27,H,15,12,H,+
16/04/21,17:00:00,Rostov-Don,Brest Bretagne Handball,21,20,H,8,11,A,+
16/04/21,16:00:00,RK Krim Mercator,Odense Håndbold,19,23,A,5,15,A,+
16/04/21,17:00:00,CSM Bucuresti,HC Podravka Vegeta,31,30,H,16,14,H,+
16/04/21,16:00:00,FTC-Rail Cargo Hungaria,BV Borussia 09 Dortmund,33,31,H,16,16,D,+
17/04/21,18:00:00,CSKA,Vipers Kristiansand,28,28,D,13,16,A,+
17/04/21,16:00:00,Győri Audi ETO KC,Metz Handball,32,20,H,17,15,H,+
16/04/21,16:00:00,SCM Ramnicu Valcea,SG BBM Bietigheim,23,22,H,10,12,A,+
16/04/21,18:00:00,Buducnost BEMAX,Team Esbjerg,27,29,A,13,11,H,+
23/04/21,14:00:00,Vipers Kristiansand,Buducnost BEMAX,34,27,H,19,12,H,+
23/04/21,17:00:00,Metz Handball,BV Borussia 09 Dortmund,23,22,H,14,9,H,+
24/04/21,18:00:00,SG BBM Bietigheim,CSKA,23,27,A,9,13,A,+
24/04/21,16:00:00,Team Esbjerg,Brest Bretagne Handball,27,30,A,16,17,A,+
23/04/21,16:00:00,Odense Håndbold,FTC-Rail Cargo Hungaria,25,25,D,13,10,H,+
24/04/21,18:00:00,Győri Audi ETO KC,RK Krim Mercator,27,24,H,12,13,A,+
23/04/21,16:00:00,SCM Ramnicu Valcea,Rostov-Don,23,33,A,12,15,A,+
23/04/21,18:00:00,HC Podravka Vegeta,CSM Bucuresti,33,32,H,15,16,A,+
01/05/21,17:00:00,RK Krim Mercator,SCM Ramnicu Valcea,23,26,A,14,13,H,+
01/05/21,17:00:00,Rostov-Don,Odense Håndbold,26,24,H,16,13,H,+
01/05/21,16:00:00,FTC-Rail Cargo Hungaria,HC Podravka Vegeta,33,30,H,15,15,D,+
01/05/21,17:00:00,CSM Bucuresti,Győri Audi ETO KC,27,27,D,9,13,A,+
01/05/21,17:00:00,BV Borussia 09 Dortmund,Vipers Kristiansand,21,25,A,10,21,A,+
01/05/21,16:00:00,CSKA,Team Esbjerg,26,24,H,12,11,H,+
01/05/21,14:00:00,Brest Bretagne Handball,Metz Handball,30,29,H,19,11,H,+
01/05/21,16:00:00,Buducnost BEMAX,SG BBM Bietigheim,32,33,A,15,18,A,+
08/05/21,18:00:00,Vipers Kristiansand,Győri Audi ETO KC,26,23,H,11,11,D,+
08/05/21,17:00:00,Metz Handball,SCM Ramnicu Valcea,32,32,D,15,7,H,+
08/05/21,17:00:00,Rostov-Don,Buducnost BEMAX,26,22,H,8,11,A,+
09/05/21,14:00:00,Team Esbjerg,CSKA,23,25,A,13,10,H,+
09/05/21,16:00:00,Odense Håndbold,CSM Bucuresti,29,30,A,14,19,A,+
08/05/21,16:00:00,BV Borussia 09 Dortmund,FTC-Rail Cargo Hungaria,26,25,H,12,14,A,+
08/05/21,20:45:00,Brest Bretagne Handball,RK Krim Mercator,24,26,A,11,11,D,+
08/05/21,18:00:00,HC Podravka Vegeta,SG BBM Bietigheim,26,30,A,10,17,A,+
14/05/21,20:00:00,SG BBM Bietigheim,Brest Bretagne Handball,28,31,A,12,18,A,+
14/05/21,18:00:00,RK Krim Mercator,BV Borussia 09 Dortmund,31,32,A,12,13,A,+
14/05/21,16:00:00,FTC-Rail Cargo Hungaria,Odense Håndbold,29,25,H,16,16,D,+
14/05/21,16:00:00,Metz Handball,HC Podravka Vegeta,29,26,H,14,13,H,+
14/05/21,18:00:00,Győri Audi ETO KC,Vipers Kristiansand,33,33,D,17,13,H,+
14/05/21,16:00:00,Buducnost BEMAX,CSM Bucuresti,25,25,D,11,16,A,+
14/05/21,17:00:00,CSKA,Rostov-Don,30,34,A,14,11,H,+
14/05/21,16:00:00,SCM Ramnicu Valcea,Team Esbjerg,29,27,H,12,15,A,+
21/05/21,16:00:00,CSM Bucuresti,BV Borussia 09 Dortmund,31,29,H,15,12,H,+
22/05/21,14:00:00,FTC-Rail Cargo Hungaria,Győri Audi ETO KC,28,27,H,12,10,H,+
21/05/21,14:00:00,Team Esbjerg,SCM Ramnicu Valcea,29,31,A,14,13,H,+
21/05/21,16:00:00,Metz Handball,Odense Håndbold,28,28,D,12,13,A,+
21/05/21,16:00:00,CSKA,SG BBM Bietigheim,33,26,H,12,16,A,+
